,NodeID,ts0,ts200,ts500,ts700,ts800,Name
0,0,773,408.23,182.08,128.27,111.79,Andhra Pradesh
1,1,461,261.05,129.23,97.51,92.08,Arunachal Pradesh
2,2,1414,785.79,285.26,190.89,179.88,Assam
3,3,540,381.16,270.79,180.36,125.48,Bihar
4,4,907,481.35,196.07,127.23,111.86,Chhattisgarh
5,5,351,202.16,93.61,55.41,44.85,Goa
6,6,705,399.15,119.99,48.35,35.58,Gujarat
7,7,971,514.77,233.55,142.12,123.91,Haryana
8,8,587,291.49,90.5,48.69,38.68,Himachal Pradesh
9,9,605,400.61,184.49,103.27,74.99,Jharkhand
10,10,655,323,165.41,123.33,110.08,Karnataka
11,11,248,126.79,86.93,73.75,69.56,Kerala
12,12,817,444.51,123.59,60.73,50.61,Madhya Pradesh
13,13,1143,639.76,255.42,143.08,113.57,Maharashtra
14,14,474,267.64,74.49,34.61,30.82,Manipur
15,15,401,241.55,121.23,84.94,79.68,Meghalaya
16,16,553,321.73,115.64,75.96,71.18,Mizoram
17,17,577,301.37,72.99,31.98,25.04,Nagaland
18,18,869,476.72,188.99,133.86,125.58,Odisha
19,19,931,551.3,259.21,175.83,151.85,Punjab
20,20,772,482.56,172.97,79.74,65.36,Rajasthan
21,21,212,118.49,32.46,18.67,13.79,Sikkim
22,22,443,203.38,122.9,100.98,91,Tamil Nadu
23,23,369,178.61,54.66,36.07,30.61,Telangana
24,24,571,340.76,123.99,82.58,77.35,Tripura
25,25,913,530.81,256.25,167.3,135.27,Uttar Pradesh
26,26,371,163.08,44.9,17.04,14.43,Uttarakhand
27,27,1064,587.08,243.68,162.72,137.31,West Bengal
28,28,0,0,0,0,0,Andaman and Nicobar Islands
29,29,458,241.72,150.72,124.85,115.2,Chandigarh
30,30,336,195.78,69.19,38.81,27.9,Dadra and Nagar Haveli and Daman and Diu
31,31,354,179.84,90.62,66.27,57.19,Delhi
32,32,422,253.59,121.42,92.21,82.93,Jammu and Kashmir
33,33,60,29.11,27.97,27.42,27.61,Ladakh 
34,34,0,0,0,0,0,Lakshadweep
35,35,151,83.57,37.79,29.16,24.61,Puducherry
